idp,x,y,z
1,-61.85,-34.1725,0
3,-60.74271,-34.46339,2
7,-62.2,-34.10667,0
18,-59.42444,-33.83333,2
22,-62.80778,-34.45722,0
46,-61.55278,-33.825,0
54,-62.46667,-34.5375,0
72,-63.3425,-34.47028,0
75,-62.12222,-34.2225,2
85,-61.51624,-33.75282,2
86,-61.15417,-33.75278,0
112,-60.81667,-33.55833,0
173,-62.05,-33.82111,0
176,-61.42111,-34.54389,2
180,-61.24444,-33.66389,0
189,-60.66806,-33.86389,0
222,-60.69861,-33.64722,2
235,-59.53194,-33.96944,2
243,-60.58611,-33.97222,0
251,-60.92167,-32.72417,0
254,-62.65333,-34.43611,0
264,-61.40556,-33.625,0
269,-60.85,-33.26944,2
272,-63.19556,-34.48194,0
285,-59.61667,-34.45278,NA
300,-61.86234,-33.74096,0
314,-60.82833,-32.95417,0
316,-60.47746,-33.20078,0
319,-60.3698,-33.28695,0
326,-60.99176,-33.64801,NA
329,-60.53681,-33.61917,2
334,-60.63032,-33.53634,2
335,-60.55616,-33.61699,2
336,-60.98457,-33.51358,0
337,-60.70013,-33.59269,0
342,-60.8593,-33.60272,2
347,-60.79719,-33.58563,0
348,-60.89974,-33.52522,2
350,-60.8523,-33.66198,0
352,-60.71548,-33.5901,0
355,-60.69398,-33.5537,2
356,-60.81179,-33.54907,NA
357,-60.62682,-33.53789,0
358,-60.49563,-33.51931,0
359,-60.11196,-33.5653,0
360,-60.22916,-33.59507,0
361,-60.46923,-33.60415,0
362,-60.41482,-33.54662,0
363,-60.203,-33.45313,NA
364,-60.33796,-33.36575,0
365,-60.20533,-33.65139,2
366,-60.33833,-33.36706,0
367,-60.22455,-33.59811,0
368,-60.10235,-33.60423,0
369,-60.4213,-33.64265,0
370,-60.34584,-33.50733,2
371,-60.31235,-33.57937,1
372,-60.28833,-33.65727,2
377,-61.10472,-32.83333,0
379,-60.18232,-33.46359,0
380,-60.12718,-33.44139,0
381,-61.12139,-32.74583,0
382,-61.86667,-32.61667,0
384,-61.38889,-32.93333,0
386,-61.85,-33.11667,0
387,-61.9,-32.56667,0
388,-61.34028,-32.68333,0
389,-60.19182,-33.47244,0
390,-60.24317,-33.37859,0
392,-60.28966,-33.43964,2
393,-61.61667,-32.85694,NA
394,-61.53472,-32.66222,2
395,-61.455,-32.81667,0
396,-60.45692,-33.38745,0
397,-60.36885,-33.36478,2
399,-61.54,-32.4775,0
400,-61.57806,-33.04667,0
401,-60.97083,-33.38611,2
404,-60.46907,-33.64261,0
407,-60.42619,-33.55519,2
408,-60.41983,-33.45025,0
412,-59.97769,-33.51655,0
413,-59.97517,-33.52207,2
414,-59.98978,-33.5046,0
416,-61.27917,-32.69444,0
417,-59.9799,-33.63983,NA
418,-59.80622,-33.64383,NA
419,-59.99697,-33.62564,0
420,-59.90568,-33.60403,2
421,-59.98303,-33.64362,0
422,-59.97324,-33.64536,0
423,-61.5175,-32.61556,0
425,-61.25556,-34.16111,0
426,-61.25426,-34.15803,2
427,-61.05556,-33.42778,0
428,-61.66333,-32.95,0
430,-61.41269,-34.01925,0
431,-61.4178,-34.02011,2
432,-61.29696,-34.00306,2
433,-61.33247,-34.02589,0
434,-61.28632,-34.15568,0
435,-61.47717,-34.13428,0
436,-61.47996,-34.1318,0
437,-61.37976,-34.10772,1
438,-61.38054,-34.10689,0
439,-61.36095,-34.128660000000004,0
440,-61.35974,-34.12986,0
441,-61.05,-34.1,0
442,-61.13927,-34.0956,NA
443,-61.07809,-34.09102,NA
444,-61.08041,-34.05465,0
445,-61.04509,-34.02149,2
446,-61.09534,-34.07491,0
447,-61.14231,-34.15194,2
448,-61.19783,-34.02996,2
449,-61.31073,-34.31647,0
451,-61.40128,-34.29914,2
452,-61.38766,-34.23633,0
455,-61.36266,-34.24719,2
456,-61.35186,-34.25178,0
457,-60.78858,-34.24198,0
458,-61.47905,-34.24879,2
459,-61.47152,-34.24835,2
461,-61.29303,-34.28689,2
462,-61.17907,-34.33063,2
463,-61.16774,-34.28856,2
464,-61.11689,-34.2643,0
465,-61.12885,-34.22267,2
467,-61.16778,-34.28695,1
468,-61.07866,-34.31451,0
469,-60.97704,-34.3124,0
470,-61.04877,-34.17854,0
471,-61.00549,-34.24183,NA
472,-61.13095,-34.18938,2
473,-61.25032,-34.22321,2
474,-61.24722,-34.22222,2
475,-61.25133,-34.21957,0
476,-60.99591,-34.13474,2
477,-60.80331,-34.02469,0
478,-60.88255,-34.00369,2
479,-60.91554,-34.07749,2
480,-60.92034,-34.05996,2
481,-60.77652,-34.04764,2
482,-60.83611,-34.01389,2
483,-60.60356,-34.144,2
485,-60.5844,-34.04938,0
488,-60.82222,-34.22639,2
489,-60.57708,-34.06869,1
490,-60.58571,-34.10701,2
